(-43.048992, -22.335917)
(-43.04898, -22.335842)
(-43.048977, -22.33579)
(-43.048977, -22.335756)
(-43.04897, -22.335735)
(-43.048954, -22.335688)
(-43.048935, -22.335646)
(-43.04893, -22.335619)
(-43.048916, -22.335588)
(-43.048904, -22.33554)
(-43.04889, -22.33551)
(-43.048878, -22.335463)
(-43.048855, -22.335411)
(-43.04883, -22.335358)
(-43.04881, -22.335333)
(-43.048794, -22.33531)
(-43.048775, -22.335276)
(-43.048748, -22.335232)
(-43.048725, -22.335188)
(-43.0487, -22.335144)
(-43.048683, -22.335121)
(-43.048656, -22.335077)
(-43.048637, -22.335028)
(-43.048615, -22.334995)
(-43.048595, -22.334963)
(-43.04857, -22.334902)
(-43.048557, -22.33489)
(-43.048542, -22.33485)
(-43.048527, -22.33482)
(-43.048496, -22.334768)
(-43.048477, -22.334736)
(-43.048466, -22.334707)
(-43.04845, -22.334684)
(-43.048428, -22.334654)
(-43.04841, -22.334621)
(-43.04839, -22.33459)
(-43.048363, -22.334557)
(-43.048355, -22.334538)
(-43.048336, -22.334505)
(-43.048313, -22.33448)
(-43.04829, -22.334455)
(-43.04826, -22.33442)
(-43.04824, -22.334389)
(-43.048233, -22.334364)
(-43.048214, -22.334318)
(-43.048206, -22.334284)
(-43.048195, -22.33425)
(-43.048203, -22.334208)
(-43.04819, -22.334173)
(-43.048183, -22.334118)
(-43.04818, -22.33408)
(-43.04817, -22.334032)
(-43.048164, -22.334007)
(-43.048157, -22.333975)
(-43.04814, -22.333954)
(-43.04812, -22.333931)
